text,aspect,label
can you check whether its cancelled completely,cancelled,1
cannot rely on both milk delivery and grocery items,milk,0
i get no notification however the app is really fine,notification,0
love this app but would love it even more if gantt charts and calendar view were available on iphone,view,1
it does not let me load a clip on the scene,load,0
i love notion as a tool but the mobile just takes way too long to load,tool,2
unlimited yearly at year,yearly,1
some times missing to deliver some times different orders are delivered,deliver,0
"would love the ability to “undelete” deleted tasks from the app in an easy to find menu option 
",tasks,1
please add this basic feature,please,2
so i wanted to download the app,app,0
gt i want to learn for the future whether we as a team did something wrong whether a teammate accidently deleted the file gt therefore it would be good to get the mailadress of kaiser or we got hacked or whether there was a failure in the notion system,learn,1
the desktop version is simply awesome comparatively,desktop version,2
app must support androids multiwindow api to would better on tablets and resize the app on the screen,androids,0
prompt and reliable service,prompt,2
ensure customers are getting delivery everyday or inform them in advance in case of delivery failure,delivery,0
the ease of ordering timely delivery and best part can use the vacation option when not homea suggestionshould increase the variety of products sold,ease of ordering,2
you can go to the exported tab to see only the exported videos,exported,1
so you can use  istock media only in a month,istock,1
"just used the app for  mins on ios  and crashed once date selection is impossible as all options are seemingly using white font on white background the app doesn’t look so good in dark mode is this the reason for the white on white ui issue

",ui,0
i thought linked databases were my favourite feature of notionhq,databases,1
there is no difference between you and the regular milkman who infacts charges  less delivery charges,delivery charges,0
items missing is not logical for all the locations,items missing,0
it is a wonderful app,app,2
i can look into this for you  could you share the url or name of the page,share,1
sometimes entries in all databases disappear and i have to restart the app to be able to load data again,time,0
we see you have used our  day trial and did not cancel the subscription from your side and were thus charged,cancel,0
i have increased it using my browser but the layout is generally broken all around is there a native way to do it,layout,0
doenst start only,doenst,2
hello i recently purchased the business plan with a  off promo code for the year,business plan,1
but its not entirely optimised for android i suppose as there are many bugs,android,0
i have added that domain to that workspace on my end,workspace,1
how do i even know what i get in my plan,plan,1
i love the program only in the mobile and ipad app the filter view doesn’t work as practical as in the desktop version,filter,0
no option of a delivery time after am,option of a delivery,0
i uoload can remove the background,background,1
it would be a lot better if it was more of an offline app,offline app,0
also the membership professional which i am on no longer exists,membership,0
it lags only that is the big issue,lags,0
notion has become what evernote could not,note,2
the app is nice but there is a nuisance as follows why i still applicate mail,mail,0
it does load correctly in incognito,load,0
i try to import large amount of notes from evernote,notes,0
punctuality as well keeing update,punctuality,2
reduce products rates  reduce service charges,service charges,0
so when i download the video will people be able to click the link to watch the video or how will they watch the video,download,1
i want to add my voice to the video,voice,1
i understand that you want to be able to add the toggle  todo  number list all in one control unit,list,1
i do not understand english well,english,1
first the loading time for opening the app needs to improve next is that instead of having to click a lot of buttons to highlight a phrase such as clicking color and then having to click again and choose a color it would be more efficient to highlight a phrase and then one click for it to be highlighted just like in striking wordsphrase,phrase,0
i am talking about the offline mode in which you can work on something for a couple of hours and the app will log out by itself and you lose everything,offline mode,2
you can cancel your plan from subscription plan page from your laptop and desktop,cancel,1
ep  action database manipulation  life hacks series phmaesdnghnaa acti,database,1
my colleague has a paid subscription so why did we get a claim,paid,1
those promocodes are not valid,promocodes are not valid,0
what is going onthere are serious issues using this software in a incognito window or notpreviews not loading editing trim video function and previewing videos with missing clipswhen can we expect this to be addressed,loading,0
timely updates in case a product is not being delivered or getting delayed,timely updates,0
before render when i compose its alright but after render it comes in some places a little smaller,render,1
"this is  just what i needed for all my crafting supplies just love it
",crafting supplies,1
freezes even on small base mostly good but the app often hangs when regaining system focus even with a small base a few tables a few dozen records no attachments,records,1
i can not open the file,file,0
but the app is not,app,0
how do i unsubscribe,unsubscribe,1
please add an app lock to secure sensitive information,secure sensitive information,0
very bad service for the essentials thing like milk,service,0
why is the priority not displayed in mobile versions zb,priority,0
maintain proper temparature of milk pocket n vegetables also not fresh,vegetables,0
it was overall a good experience but lack of offline mode sucks,offline mode,0
perfect for project management,project,2
 add that video to both scenes,scene,1
no immediate solution to queries,no immediate solution,0
grocerry varities,grocerry,0
good and excellent service,good,2
its about the lowest vasilescupro solutions text in the scene that should have the overlay over it before it fades away,fades,1
i love everything about notion  but you guys have such a terrible app,app,2
the delivery is very haphazard,delivery,0
packaging of biscuits bakery and dairy products is very poor,dairy products,0
and editing a video that long requires more speed and that is something that is difficult for most users,speed,1
journals gtd cookbooks whatever,gtd,2
the product is really good but the app needs optimisation,app,0
so when i click the reading notes on the table of reading list id like it direct me directly to the page of the reading note,table,1
cuando agregaran el idioma espanol ,cuando,2
time maintenance and hard working of your team,time maintenance,2
i have used notion on my desktop so i wanted to try it out on my iphone however the app already does not open on my first time downloading it,app,0
this app sucks,app,2
"best productivity tools
 ",productivity,2
